,model_pearsonHA1E,model_pearsonPC3,model_spearHA1E,model_spearPC3,model_accHA1E,model_accPC3,recon_pear_ha1e,recon_pear_pc3,recon_spear_ha1e,recon_spear_pc3,recon_acc_ha1e,recon_acc_pc3,cross_corr_ha1e,cross_corr_pc3,Direct_pearson,Direct_spearman,DirectAcc_ha1e,DirectAcc_pc3,ClassAcc,F1_score
0,0.4690948724746704,0.49005064368247986,0.3834255818254607,0.4013795728911954,0.6356185291342935,0.6365469087063377,0.8443545699119568,0.864402711391449,0.8215760268064785,0.845447934936633,0.8257896376873176,0.8370651849873402,0.4047218859195709,0.3632892072200775,0.2947435975074768,0.27606533295265984,0.5935379974642319,0.5935379974642319,1.0,1.0
1,0.5011972188949585,0.4859103858470917,0.4161656553475333,0.4045491393909318,0.6470024456342125,0.6399719983896068,0.8455372452735901,0.8676854968070984,0.8178904558878741,0.833097561290914,0.8232826265544886,0.8288015582993062,0.38263368606567383,0.3835655748844147,0.3503803312778473,0.31528465636093594,0.6098762761463534,0.6098762761463534,1.0,1.0
2,0.5812572240829468,0.5286225080490112,0.43133704239805404,0.4183867489118181,0.6522662676737633,0.6388933955858406,0.8473101258277893,0.8527824282646179,0.8094150357016491,0.8294182689153793,0.816822941748581,0.8258568150639197,0.3792736828327179,0.38520577549934387,0.337028831243515,0.28246581885320887,0.5944423413192003,0.5944423413192003,1.0,1.0
3,0.4570155739784241,0.514585018157959,0.3615517024477635,0.4148631205398168,0.6284348541933313,0.6446920123303228,0.8467006683349609,0.8725333213806152,0.8107828546940979,0.860481511272993,0.8175774057392141,0.8506126226020847,0.37264734506607056,0.35757675766944885,0.3484990894794464,0.3127216656515044,0.6076109098119805,0.6076109098119805,1.0,1.0
4,0.6379854679107666,0.5916978120803833,0.4460535657083887,0.4835379774043778,0.6671744211898882,0.6708518859024512,0.8864057064056396,0.894209086894989,0.8477684821351055,0.8704366876532977,0.8409195206934645,0.8537866861993657,0.5004012584686279,0.4150966703891754,0.3832576274871826,0.3137478586997966,0.6117841111892273,0.6117841111892273,1.0,1.0
5,0.48886623978614807,0.47798940539360046,0.4214068027767247,0.3907079413652964,0.652707923975027,0.6300031847325126,0.8592225313186646,0.8814929723739624,0.8440452069271926,0.8603587452046499,0.8369064143603108,0.8449747140577428,0.41863301396369934,0.35049062967300415,0.32032954692840576,0.2592670257481762,0.5859216796159092,0.5859216796159092,1.0,1.0
6,0.39471569657325745,0.44963914155960083,0.30595332665481784,0.36234580750977136,0.6048437978836552,0.6216087105438681,0.8547380566596985,0.8817643523216248,0.8325764861152868,0.8647535838638827,0.8309500203015967,0.8485865097575814,0.3613671362400055,0.37671610713005066,0.2690584361553192,0.22449735544117713,0.5745287497220869,0.5745287497220869,1.0,1.0
7,0.35952359437942505,0.40581002831459045,0.30320438834799107,0.3396684185750938,0.603296498596915,0.6131361202747282,0.8530176281929016,0.8739697337150574,0.828886418488575,0.8616661831284906,0.8278056334570313,0.8484779198215078,0.3468361794948578,0.30866533517837524,0.3091377913951874,0.26040072529378133,0.589316724652834,0.589316724652834,0.996031746031746,0.9965870307167235
8,0.4360731840133667,0.39950138330459595,0.3752889543484111,0.3285730573795167,0.628452880981138,0.6054597131337167,0.8558791875839233,0.8740172982215881,0.837277771737917,0.8565698321864341,0.8319603788372377,0.8436979392193127,0.3557717502117157,0.3634684681892395,0.2982670068740845,0.2527786197678285,0.5835902150595785,0.5835902150595785,1.0,1.0
9,0.4477759599685669,0.4935990869998932,0.35418262748477936,0.39779589282373257,0.6194304736838943,0.6256346931540269,0.8382898569107056,0.8512802124023438,0.821706879533112,0.8346467716168202,0.822192950152498,0.829145538842148,0.3661455810070038,0.40143609046936035,0.2685238718986511,0.23090945748852568,0.5720290351462273,0.5720290351462273,1.0,1.0
