,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,F1,Accuracy,model,set,cell,iteration
0,0.6840479373931885,0.6832737326622009,0.7456235885620117,0.7449057698249817,1.0,1.0,model,validation,HA1E,0
1,0.7073853611946106,0.7039487957954407,0.765857994556427,0.7601454854011536,1.0,1.0,model,validation,HA1E,0
2,0.674235999584198,0.6826396584510803,0.746522843837738,0.7451825737953186,1.0,1.0,model,validation,HA1E,0
3,0.6906070709228516,0.6863155961036682,0.7501261830329895,0.7481463551521301,1.0,1.0,model,validation,HA1E,0
4,0.6660928726196289,0.6616702675819397,0.7354573011398315,0.7328023314476013,1.0,1.0,model,validation,HA1E,0
0,0.6811650395393372,0.680894136428833,0.7427583932876587,0.7452942728996277,1.0,1.0,model,validation,HA1E,1
1,0.7025576233863831,0.7052996754646301,0.7619873285293579,0.7640518546104431,1.0,1.0,model,validation,HA1E,1
2,0.680047333240509,0.6875320672988892,0.7443119287490845,0.7513037919998169,1.0,1.0,model,validation,HA1E,1
3,0.6861368417739868,0.6929420828819275,0.7487208247184753,0.7552372217178345,1.0,1.0,model,validation,HA1E,1
4,0.6575034260749817,0.6678699851036072,0.7287881374359131,0.7366822361946106,1.0,1.0,model,validation,HA1E,1
0,0.6787177920341492,0.6857033371925354,0.7410052418708801,0.7499234676361084,1.0,1.0,model,validation,HA1E,2
1,0.6964402198791504,0.7075733542442322,0.7582347989082336,0.76755690574646,1.0,1.0,model,validation,HA1E,2
2,0.6755958795547485,0.6872119307518005,0.7431151270866394,0.7528011202812195,1.0,1.0,model,validation,HA1E,2
3,0.6836211681365967,0.6895333528518677,0.7466652393341064,0.7553614377975464,1.0,1.0,model,validation,HA1E,2
4,0.6596203446388245,0.6604800224304199,0.7282935976982117,0.7350535988807678,1.0,1.0,model,validation,HA1E,2
0,0.6841250061988831,0.6872239708900452,0.7443572878837585,0.7475337982177734,1.0,1.0,model,validation,HA1E,3
1,0.7020977735519409,0.70573890209198,0.7638224959373474,0.7665348052978516,1.0,1.0,model,validation,HA1E,3
2,0.6774990558624268,0.684817373752594,0.7481926679611206,0.7501952648162842,1.0,1.0,model,validation,HA1E,3
3,0.6856268048286438,0.6903288960456848,0.7485803365707397,0.7489180564880371,1.0,1.0,model,validation,HA1E,3
4,0.6626442074775696,0.6660634279251099,0.7357829213142395,0.7350047826766968,1.0,1.0,model,validation,HA1E,3
0,0.6775719523429871,0.6877028942108154,0.7415454983711243,0.7475773692131042,1.0,1.0,model,validation,HA1E,4
1,0.6991319060325623,0.7050724029541016,0.762267529964447,0.7659844756126404,1.0,1.0,model,validation,HA1E,4
2,0.6791892051696777,0.6842030882835388,0.7429988980293274,0.747042715549469,1.0,1.0,model,validation,HA1E,4
3,0.6845929026603699,0.6902172565460205,0.7473084926605225,0.749272882938385,1.0,1.0,model,validation,HA1E,4
4,0.6667664051055908,0.6624775528907776,0.7358797788619995,0.7286891937255859,1.0,1.0,model,validation,HA1E,4
