,metric,DCS,DCS modified v1,DCS modified v2,Two Autoencoders
DCS,pearson,1.0,0.0036105143123296027,0.00032983852077799353,0.00024612812790522973
DCS modified v1,pearson,0.0,1.0,0.21229383619233155,0.10410988966022681
DCS modified v2,pearson,0.0,0.0,1.0,0.7913367801006604
Two Autoencoders,pearson,0.0,0.0,0.0,1.0
DCS,spearman,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
DCS modified v1,spearman,0.0,1.0,0.00018267179110955002,0.0211339281291611
DCS modified v2,spearman,0.0,0.0,1.0,0.00018267179110955002
Two Autoencoders,spearman,0.0,0.0,0.0,1.0
DCS,accuracy,1.0,0.00018165114609146497,0.00018165114609146497,0.00018165114609146497
DCS modified v1,accuracy,0.0,1.0,0.00018267179110955002,0.025748080821108063
DCS modified v2,accuracy,0.0,0.0,1.0,0.00018267179110955002
Two Autoencoders,accuracy,0.0,0.0,0.0,1.0
