,metric,variation 1,variation 2,variation 3,variation 4,variation 5,variation 6,variation 7,direct translation
variation 1,pearson,1.0,0.0022022199424970783,0.0022022199424970783,0.00018267179110955002,0.00018267179110955002,0.0010079762403767444,0.0017062493689195964,0.07566157214388704
variation 2,pearson,0.0,1.0,1.0,0.27303633975118835,0.04515456962427901,0.3846730627355087,0.9698499769931556,0.00018267179110955002
variation 3,pearson,0.0,0.0,1.0,0.27303633975118835,0.04515456962427901,0.3846730627355087,0.9698499769931556,0.00018267179110955002
variation 4,pearson,0.0,0.0,0.0,1.0,0.3846730627355087,0.4273553138978077,0.24132159301718004,0.00018267179110955002
variation 5,pearson,0.0,0.0,0.0,0.0,1.0,0.21229383619233155,0.03763531378731424,0.00018267179110955002
variation 6,pearson,0.0,0.0,0.0,0.0,0.0,1.0,0.3846730627355087,0.00018267179110955002
variation 7,pearson,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002
direct translation,pearson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
variation 1,spearman,1.0,0.0010079762403767444,0.0013149446697132139,0.00024612812790522973,0.00018267179110955002,0.00032983852077799353,0.0010079762403767444,0.031209012771740218
variation 2,spearman,0.0,1.0,0.9097218891455553,0.3846730627355087,0.18587673236587576,0.47267559351158717,0.9698499769931556,0.00018267179110955002
variation 3,spearman,0.0,0.0,1.0,0.3846730627355087,0.18587673236587576,0.5205228832757727,1.0,0.00018267179110955002
variation 4,spearman,0.0,0.0,0.0,1.0,0.6231762238821174,0.6775849579524755,0.3846730627355087,0.00018267179110955002
variation 5,spearman,0.0,0.0,0.0,0.0,1.0,0.3447042220069576,0.16197241048012612,0.00018267179110955002
variation 6,spearman,0.0,0.0,0.0,0.0,0.0,1.0,0.47267559351158717,0.00018267179110955002
variation 7,spearman,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002
direct translation,spearman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
variation 1,accuracy,1.0,0.0036105143123296027,0.0028272720911168077,0.0013149446697132139,0.00024612812790522973,0.0013149446697132139,0.0028272720911168077,0.04515456962427901
variation 2,accuracy,0.0,1.0,0.7913367801006604,0.24132159301718004,0.14046504815835495,0.4273553138978077,0.8501067391385259,0.00024612812790522973
variation 3,accuracy,0.0,0.0,1.0,0.24132159301718004,0.10410988966022681,0.3846730627355087,0.9097218891455553,0.00024612812790522973
variation 4,accuracy,0.0,0.0,0.0,1.0,0.6775849579524755,0.6775849579524755,0.18587673236587576,0.00018267179110955002
variation 5,accuracy,0.0,0.0,0.0,0.0,1.0,0.27303633975118835,0.10410988966022681,0.00018267179110955002
variation 6,accuracy,0.0,0.0,0.0,0.0,0.0,1.0,0.4273553138978077,0.00018267179110955002
variation 7,accuracy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00024612812790522973
direct translation,accuracy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
