,metric,DCS,DCS modified v1,DCS modified v2,Two Autoencoders,direct translation
DCS,pearson,1.0,0.9097218891455553,0.0211339281291611,0.18587673236587576,0.0211339281291611
DCS modified v1,pearson,0.0,1.0,0.03763531378731424,0.18587673236587576,0.0211339281291611
DCS modified v2,pearson,0.0,0.0,1.0,0.4273553138978077,0.00018267179110955002
Two Autoencoders,pearson,0.0,0.0,0.0,1.0,0.00032983852077799353
direct translation,pearson,0.0,0.0,0.0,0.0,1.0
DCS,spearman,1.0,0.9698499769931556,0.053902557169387175,0.21229383619233155,0.011329696684474665
DCS modified v1,spearman,0.0,1.0,0.03763531378731424,0.21229383619233155,0.011329696684474665
DCS modified v2,spearman,0.0,0.0,1.0,0.27303633975118835,0.00018267179110955002
Two Autoencoders,spearman,0.0,0.0,0.0,1.0,0.0005828399431792743
direct translation,spearman,0.0,0.0,0.0,0.0,1.0
DCS,accuracy,1.0,0.9097218891455553,0.053902557169387175,0.3074894566186813,0.017257456083119765
DCS modified v1,accuracy,0.0,1.0,0.03763531378731424,0.27303633975118835,0.017257456083119765
DCS modified v2,accuracy,0.0,0.0,1.0,0.3074894566186813,0.00018267179110955002
Two Autoencoders,accuracy,0.0,0.0,0.0,1.0,0.0010079762403767444
direct translation,accuracy,0.0,0.0,0.0,0.0,1.0
