,metric,variation 1,variation 2,variation 3,variation 4,variation 5
variation 1,pearson,1.0,0.6775849579524755,0.8501067391385259,0.00043963875262656454,0.00043963875262656454
variation 2,pearson,0.0,1.0,0.3846730627355087,0.0005828399431792743,0.0005828399431792743
variation 3,pearson,0.0,0.0,1.0,0.00024612812790522973,0.00024612812790522973
variation 4,pearson,0.0,0.0,0.0,1.0,0.6775849579524755
variation 5,pearson,0.0,0.0,0.0,0.0,1.0
variation 1,spearman,1.0,0.6775849579524755,0.7913367801006604,0.0007685389131627665,0.00043963875262656454
variation 2,spearman,0.0,1.0,0.3074894566186813,0.00032983852077799353,0.0005828399431792743
variation 3,spearman,0.0,0.0,1.0,0.00018267179110955002,0.00024612812790522973
variation 4,spearman,0.0,0.0,0.0,1.0,0.9698499769931556
variation 5,spearman,0.0,0.0,0.0,0.0,1.0
variation 1,accuracy,1.0,0.8501067391385259,0.47267559351158717,0.0022022199424970783,0.004586392080253494
variation 2,accuracy,0.0,1.0,0.5205228832757727,0.0010079762403767444,0.0028272720911168077
variation 3,accuracy,0.0,0.0,1.0,0.00043963875262656454,0.0010079762403767444
variation 4,accuracy,0.0,0.0,0.0,1.0,0.7337299956962472
variation 5,accuracy,0.0,0.0,0.0,0.0,1.0
